Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Chirault Thomas,0163151,Clermont Ferrand Cie,CL S1H,X,X,9,9,9,8,X,10,10,9,9,9,X,10,9,9,9,8,X,X,10,10,9,9,X,10,10,10,9,9,X,X,9,9,9,9
Chirault Thomas,0163151,Clermont Ferrand Cie,CL S1H,10,9,9,9,8,7,X,X,10,10,9,9,X,10,10,9,9,9,X,X,X,9,9,9,X,X,X,10,9,8,X,X,10,9,9,9
Addis Baptiste,1130041,Nimes,CL U21H,9,9,9,8,7,7,X,X,10,10,9,8,X,10,10,9,9,9,X,9,9,9,9,9,X,10,10,9,9,9,X,X,10,10,9,9
Addis Baptiste,1130041,Nimes,CL U21H,X,10,10,9,9,8,X,10,9,9,9,9,X,9,9,9,9,9,X,10,9,9,9,8,X,10,9,9,9,8,X,X,X,10,10,10
Fichet Romain,0163157,Riom,CL S1H,10,10,9,9,9,8,10,9,9,9,9,7,10,10,9,9,9,8,10,10,9,9,8,5,X,10,10,9,9,9,X,10,10,10,10,9
Fichet Romain,0163157,Riom,CL S1H,10,9,9,9,8,8,X,10,9,9,9,8,X,10,9,9,9,9,10,9,9,9,8,8,X,X,10,9,9,9,X,X,9,9,8,8
Sanna Michael,0163151,Clermont Ferrand Cie,CL S1H,10,9,9,8,8,8,9,9,9,9,8,8,X,9,9,9,8,7,X,9,9,9,9,8,10,9,9,9,9,7,10,10,9,9,9,8
Sanna Michael,0163151,Clermont Ferrand Cie,CL S1H,10,9,9,9,9,9,X,9,9,8,8,8,X,10,9,9,8,7,9,9,9,9,9,9,10,9,9,9,9,8,10,9,9,9,8,8
Bariteaud Iban,1130041,Nimes,CL S1H,10,9,9,8,8,8,X,9,9,9,7,6,10,10,9,9,9,8,10,9,9,9,9,5,X,10,9,9,6,6,X,10,10,9,9,8
Bariteaud Iban,1130041,Nimes,CL S1H,X,10,9,9,8,8,X,X,9,9,8,8,X,10,10,8,8,7,10,9,9,9,9,8,X,9,9,9,7,7,X,X,X,9,9,9
Hepp Kylan,0163157,Riom,CL U18H,X,9,9,9,9,8,9,9,9,8,8,7,X,X,X,9,8,8,10,9,8,8,8,7,X,10,10,10,9,8,X,10,10,9,9,8
Hepp Kylan,0163157,Riom,CL U18H,X,10,10,9,9,8,10,10,10,10,10,9,X,10,10,8,8,8,X,10,10,8,8,8,10,9,8,8,8,7,9,9,9,9,9,9
Vautrin Jules,0163151,Clermont Ferrand Cie,CL S1H,9,9,9,8,8,8,10,10,9,8,7,6,X,10,9,8,8,8,X,10,9,9,9,8,X,10,9,9,8,8,9,9,9,8,7,7
Vautrin Jules,0163151,Clermont Ferrand Cie,CL S1H,9,8,8,8,7,6,X,9,9,9,8,7,9,9,9,8,8,7,9,9,8,8,8,8,10,10,10,9,9,7,10,9,9,8,6,2
Renaudineau Alexis,1130041,Nimes,CL U21H,X,10,10,9,9,8,10,X,9,8,7,7,10,10,9,9,9,9,10,9,9,9,7,7,X,10,10,8,8,8,X,X,10,9,9,7
Renaudineau Alexis,1130041,Nimes,CL U21H,X,X,10,9,9,9,10,10,10,8,8,8,X,X,9,9,9,8,X,10,9,9,9,8,X,10,9,8,8,7,10,10,9,8,8,8
Pomarat Alex,0163157,Riom,CL U21H,9,9,9,7,7,5,10,8,8,8,7,6,X,X,10,9,8,7,X,X,9,9,8,7,9,9,9,9,8,7,9,9,8,8,8,7
Pomarat Alex,0163157,Riom,CL U21H,10,9,9,9,9,8,9,9,9,9,9,8,9,9,9,8,8,8,10,9,8,8,8,7,9,8,7,7,7,7,10,9,8,8,8,6
Viale Romain,0163151,Clermont Ferrand Cie,CL S1H,10,10,10,10,9,8,X,10,10,9,9,8,X,10,9,9,8,8,10,10,9,9,9,8,X,10,10,9,8,7,X,9,9,9,8,8
Viale Romain,0163151,Clermont Ferrand Cie,CL S1H,10,10,9,9,8,8,10,10,9,8,7,7,10,9,9,9,9,9,X,10,10,10,9,8,X,X,10,9,9,6,X,X,10,9,9,8
Aubert Thomas,1130041,Nimes,CL S1H,10,9,8,8,8,8,X,10,9,8,8,8,10,9,9,9,8,7,X,10,10,9,8,8,10,10,10,9,9,8,10,9,9,9,8,8
Aubert Thomas,1130041,Nimes,CL S1H,10,10,9,8,8,7,10,9,9,9,9,8,9,9,9,9,8,8,X,10,9,9,9,9,X,10,10,10,9,7,X,10,10,9,8,8
Strock-Huttepain Thomas,0163157,Riom,CL S1H,9,9,9,9,9,8,10,9,9,9,8,7,10,9,9,8,8,8,9,9,9,8,8,M,10,9,9,8,8,7,10,9,8,8,8,7
Strock-Huttepain Thomas,0163157,Riom,CL S1H,9,9,9,9,9,8,10,10,9,9,9,9,10,9,9,9,8,7,10,9,9,9,8,8,10,10,9,9,8,6,X,10,9,8,8,6
Jacquey Clement,0163151,Clermont Ferrand Cie,CL S1H,10,9,9,9,8,7,10,9,9,8,8,7,9,9,9,9,8,8,X,10,9,9,8,8,X,10,9,9,8,8,10,10,10,9,8,7
