Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Piron Benjamin,0895293,Sarcelles,CO S1H,X,10,9,9,8,8,X,X,10,9,8,7,10,10,8,8,8,7,X,X,10,9,9,6,X,X,10,9,9,8,X,10,10,10,9,9
Piron Benjamin,0895293,Sarcelles,CO S1H,X,10,9,9,9,9,X,X,10,10,10,10,X,X,9,8,8,8,10,10,9,9,9,9,X,10,10,10,9,9,X,X,10,9,9,8
Cadronet Nathan,0892199,Suresnes,CO S1H,X,X,10,10,9,9,X,10,10,9,9,9,X,X,10,9,9,9,X,10,10,10,9,8,X,10,10,10,10,8,X,X,10,10,10,10
Cadronet Nathan,0892199,Suresnes,CO S1H,X,X,X,X,10,9,10,10,9,9,9,8,X,10,10,10,10,9,10,10,10,10,9,9,X,X,X,10,10,9,X,X,X,10,10,9
Bureau Pierre,0927046,Vernon Cie,CO S1H,X,X,X,10,9,9,X,X,10,9,9,9,X,10,10,10,9,9,X,X,10,9,9,9,10,10,10,10,9,9,10,10,10,9,9,9
Bureau Pierre,0927046,Vernon Cie,CO S1H,X,X,10,10,9,9,X,10,10,9,9,9,X,X,X,10,9,9,X,X,10,10,10,10,X,10,10,9,9,9,X,X,10,10,10,9
Marin-Lafleche Kevin,0895293,Sarcelles,CO S2H,X,X,X,10,9,8,X,10,9,9,9,9,X,10,10,10,10,9,10,9,9,8,8,8,10,10,9,9,9,9,X,10,9,9,9,9
Marin-Lafleche Kevin,0895293,Sarcelles,CO S2H,X,X,10,10,9,8,10,10,9,9,9,8,10,10,9,9,9,9,X,10,10,9,9,8,10,9,9,9,9,8,10,9,9,9,9,8
Vigarie Gilles,0892199,Suresnes,CO S2H,10,10,9,9,9,9,X,X,10,9,9,9,X,X,10,9,9,9,10,10,10,10,9,9,10,10,10,9,9,8,X,10,10,10,10,9
Vigarie Gilles,0892199,Suresnes,CO S2H,10,10,9,9,9,9,X,10,10,10,9,9,X,X,10,10,9,8,X,X,10,10,10,9,10,9,9,9,9,8,X,10,10,9,9,9
